player_id,player_name,team,position,games,adot,yprr,racr,target_share,wopr,rush_expl_10p,aypa,epa_per_play
00-0038794,Jaleel McLaughlin,DEN,RB,16,-4.037037037037037,,,0.0453781512605042,0.04959265175862472,0.1415929203539823,,
00-0038640,Jalen Brooks,DAL,WR,12,13.633333333333333,,0.43276283,0.04424778761061947,0.1274685657261747,,,
00-0039491,Jalen Coker,CAR,WR,11,11.217391304347826,,0.9263566,0.07863247863247863,0.19886269378356444,,19.0,1.3107093572616577
00-0036389,Jalen Hurts,PHI,QB,15,,,,,,0.061946902654867256,7.614035087719298,0.10010141358339697
00-0039855,Jalen McMillan,TB,WR,13,12.137931034482758,,0.65482956,0.09446254071661238,0.26588735278052694,0.5,,
00-0037291,Jalen Nailor,MIN,WR,15,11.595238095238095,,0.85010266,0.07023411371237458,0.1790592801261905,0.0,,
00-0036387,Jalen Reagor,LAC,WR,7,10.25,,0.8130081,0.02154398563734291,0.05205010590302345,0.0,,
00-0037666,Jalen Tolbert,DAL,WR,17,11.468354430379748,,0.6732892,0.11651917404129794,0.31011806586674884,,,
00-0038938,Jalin Hyatt,NYG,WR,10,19.105263157894736,,0.1707989,0.02945736434108527,0.10741072723338771,,,
00-0033948,Jamaal Williams,NO,RB,13,-1.1666666666666667,,,0.02027027027027027,0.02819321580180848,0.0625,,
00-0039379,Jamari Thrash,CLE,WR,6,7.285714285714286,,0.43137255,0.009523809523809525,0.02123259139646377,,,
00-0031503,Jameis Winston,CLE,QB,11,,,,,,0.11764705882352941,5.647239263803681,-0.09240414906133172
00-0033553,James Conner,ARI,RB,16,-1.8727272727272728,,,0.09598603839441536,0.12447675868517755,0.14225941422594143,,
00-0037248,James Cook,BUF,RB,16,0.9736842105263158,,6.972973,0.07102803738317758,0.1126190150365512,0.10144927536231885,,
00-0036133,James Proche,CLE,WR,2,5.666666666666667,,1.2352941,0.004081632653061225,0.00843807452795457,,,
00-0037240,Jameson Williams,DET,WR,15,11.395604395604396,,0.9170685,0.15555555555555556,0.44150654872258505,0.36363636363636365,,
00-0031941,Jamison Crowder,WAS,WR,4,8.307692307692308,,0.6666667,0.022452504317789293,0.05261663292471918,,,
00-0033106,Jared Goff,DET,QB,17,5.0,,1.4,0.0017094017094017094,0.003567830695866201,0.0,8.501760563380282,0.2764572089826557
00-0039824,Jared Wiley,KC,TE,1,4.0,,1.75,0.0015552099533437014,0.003068495444496471,,,
00-0035264,Jarrett Stidham,DEN,QB,2,,,,,,0.0,,
00-0039393,Jase McClellan,ATL,RB,2,,,,,,0.0,,
00-0036259,Jauan Jennings,SF,WR,15,9.902654867256636,,0.8713137,0.19824561403508772,0.47035869846218514,,,
00-0039853,Javon Baker,NE,WR,4,12.5,,0.24,0.006837606837606838,0.0193567738462335,,,
00-0036997,Javonte Williams,DEN,RB,17,-0.4142857142857143,,,0.11764705882352941,0.17155533404472995,0.09352517985611511,,
00-0038543,Jaxon Smith-Njigba,SEA,WR,17,8.594202898550725,,0.95278245,0.2123076923076923,0.5202602755106412,0.0,35.0,2.2436094284057617
00-0039910,Jayden Daniels,WAS,QB,17,,,,,,0.11688311688311688,6.9375,0.1032280849687981
00-0039146,Jayden Reed,GB,WR,17,8.947368421052632,,1.2602941,0.1504950495049505,0.33942779473739093,0.35,,
00-0036613,Jaylen Waddle,MIA,WR,15,9.729411764705882,,0.92744863,0.13302034428794993,0.3555261983138295,0.0,,
00-0037228,Jaylen Warren,PIT,RB,15,-0.0851063829787234,,,0.08545454545454545,0.12747223885560577,0.11666666666666667,,
00-0039874,Jaylen Wright,MIA,RB,13,-1.0,,,0.009389671361502348,0.012952736608395484,0.11764705882352941,,
00-0034115,Jeff Wilson,MIA,RB,7,0.0,,,0.004694835680751174,0.007042253521126761,0.125,,
00-0033955,Jeremy McNichols,WAS,RB,14,1.6666666666666667,,1.35,0.02072538860103627,0.03459509679989725,0.10714285714285714,,
